Date,Now,Open,High,Low,Volume
20111221,1151.3,1157.5,1157.8,1145.3,-0.0058
20111222,1154.5,1151.3,1159.1,1151.3,0.0028
20111223,1149.5,1154.5,1154.5,1147.4,-0.0043
20111226,1155,1149.5,1156,1145.2,0.0048
20111227,1156.15,1155,1160.4,1151.4,0.001
20111228,1157.5,1156.15,1159.6,1153.3,0.0012
20111229,1157,1157.5,1159.3,1149.3,-0.0004
20111230,1159.25,1157.25,1159.4,1155.9,0.0019
20120102,1155.15,1159,1159,1153.4,-0.0035
20120103,1145.7,1155.65,1155.7,1144.7,-0.0082
20120104,1148.35,1145.7,1152,1144.9,0.0023
20120105,1156.05,1147.85,1156.5,1147.4,0.0067
20120106,1160.5,1155.4,1163.4,1153.9,0.0038
20120109,1158.05,1161,1167.2,1158.05,-0.0021
20120110,1154.55,1158.05,1159.7,1153.55,-0.003
20120111,1159.55,1154.55,1162.8,1154.55,0.0043
20120112,1152.45,1159.55,1161.8,1152.25,-0.0061
20120113,1151.35,1152.45,1154.3,1147,-0.001
20120116,1152,1150.6,1155.55,1150.6,0.0006
20120117,1143.75,1152.75,1152.75,1143.6,-0.0072
20120118,1139.1,1143.75,1146.7,1139.1,-0.0041
20120119,1134.4,1139.1,1139.1,1134.4,-0.0041
20120120,1133.5,1134.3,1137.6,1133.4,-0.0008
20120123,1128.15,1134,1134,1126.4,-0.0047
20120124,1130.05,1128.15,1135,1128.15,0.0017
20120125,1127.55,1130.05,1130.05,1125.4,-0.0022
20120126,1122.5,1127.05,1127.05,1120.3,-0.0045
20120127,1120.75,1125.15,1126.55,1120.75,-0.0016
20120130,1128.25,1122.5,1129.95,1120.5,0.0067
20120131,1126.2,1128.5,1130.45,1121.25,-0.0018
20120201,1123.6,1125.7,1130.15,1123.6,-0.0023
20120202,1117.15,1124.1,1124.1,1116.15,-0.0057
20120203,1117,1116.9,1122.5,1116.5,-0.0001
20120206,1120.5,1114.6,1122.8,1114.6,0.0031
20120207,1117.5,1122.4,1124.1,1117.5,-0.0027
20120208,1117.65,1118,1119,1116,0.0001
20120209,1119.05,1117.65,1121.7,1115.5,0.0013
20120210,1123.5,1119.4,1124.4,1117.4,0.004
20120213,1120.2,1123.5,1127.2,1119.5,-0.0029
20120214,1126.3,1120.7,1127.05,1120.7,0.0054
20120215,1125.15,1126.3,1126.3,1120.8,-0.001
20120216,1125.95,1125.15,1135.25,1125.15,0.0007
20120217,1126.88,1126.83,1128.88,1122.53,0.0008
20120220,1121.9,1126.75,1126.75,1120.3,-0.0044
20120221,1125.55,1121.9,1128.35,1121.7,0.0033
20120222,1128.7,1125.55,1129.25,1124.6,0.0028
20120223,1127.65,1128.7,1130.7,1126.3,-0.0009
20120224,1124.5,1127.65,1127.65,1123.6,-0.0028
20120227,1126.15,1124.5,1132.05,1124.5,0.0015
20120228,1125.85,1126.15,1128.8,1124.4,-0.0003
20120229,1119.3,1125.85,1126.4,1116.4,-0.0058
20120301,1114.9,1119.3,1120.95,1114.9,-0.0039
20120302,1115.5,1113.9,1117,1112,0.0005
20120305,1118.55,1115.25,1120,1115.25,0.0027
20120306,1124.5,1118.8,1125.95,1116.1,0.0053
20120307,1122.95,1124.25,1129.15,1122.95,-0.0014
20120308,1115.45,1123.45,1125.7,1115.45,-0.0067
20120309,1117,1114.5,1119.2,1114.5,0.0014
20120312,1123.85,1116.6,1125.45,1116.6,0.0061
20120313,1123.2,1123.85,1127.6,1119.6,-0.0006
20120314,1132.95,1123.2,1132.95,1121.1,0.0087
20120315,1124.4,1132.95,1132.95,1122.95,-0.0075
20120316,1125.9,1124.1,1126,1122.9,0.0013
20120319,1120.05,1126.3,1126.3,1119.85,-0.0052
20120320,1127.85,1119.85,1128.65,1119.85,0.007
20120321,1130.4,1127.85,1130.75,1125.2,0.0023
20120322,1133.3,1130.4,1133.3,1127.3,0.0026
20120323,1135.5,1132.2,1135.8,1131.8,0.0019
20120326,1133.25,1134.3,1142.25,1132.75,-0.002
20120327,1136.55,1135.8,1139.9,1132.45,0.0029
20120328,1137.3,1137.9,1140.1,1134.75,0.0007
20120329,1139.15,1135.9,1140.4,1135.4,0.0016
20120330,1131.9,1137.6,1138.1,1130.3,-0.0064
20120402,1125.95,1133.5,1133.5,1125.95,-0.0053
20120403,1125.85,1127.3,1127.3,1122.1,-0.0001
20120404,1131.15,1125.25,1131.65,1122.4,0.0047
20120405,1130.4,1131.15,1133.15,1127.55,-0.0007
20120406,1132.75,1128.95,1133.3,1128.95,0.0021
20120409,1137.5,1135.4,1139.2,1135.4,0.0042
20120410,1139.65,1138.05,1139.75,1134.95,0.0019
20120411,1143.7,1139.9,1147.35,1139.9,0.0036
20120412,1135.05,1142.8,1145.2,1135.05,-0.0076
20120413,1134.5,1135.4,1136.8,1131.8,-0.0005
20120416,1136.1,1136.45,1139.8,1135,0.0014
20120417,1134.55,1137.5,1142.3,1134.55,-0.0014
20120418,1140.65,1134.25,1141.4,1133.2,0.0054
20120419,1140.65,1138.95,1142.05,1136.8,0
20120420,1139.35,1138.4,1142.25,1137.35,-0.0011
20120423,1141.8,1139.05,1142.82,1137.2,0.0022
20120424,1139.45,1141.2,1142.7,1137.45,-0.0021
20120425,1138.05,1137.6,1141.6,1136.1,-0.0012
20120426,1133,1137.4,1139.45,1132,-0.0044
20120427,1131.37,1134.1,1136.7,1131.37,-0.0014
20120430,1130.15,1131.5,1133.4,1127.71,-0.0011
20120501,1127.65,1128.9,1131.8,1127.41,-0.0022
20120502,1130.2,1128,1130.2,1125.7,0.0023
20120503,1131.25,1131,1132.25,1128.37,0.0009
20120504,1135.85,1131.5,1135.85,1130.9,0.0041
20120507,1138.5,1138.4,1140.4,1135.6,0.0023
20120508,1138.25,1138.6,1139.5,1134.3,-0.0002
20120509,1144.5,1138.6,1145.3,1137.05,0.0055
20120510,1142.9,1143.7,1146.2,1140.3,-0.0014
20120511,1149.2,1143.2,1149.64,1141.7,0.0055
20120514,1153.8,1148.7,1155.3,1147.7,0.004
20120515,1155.9,1154.2,1156.9,1152,0.0018
20120516,1166.32,1156.1,1170.85,1156.1,0.009
20120517,1165.94,1166.07,1167.86,1161.15,-0.0003
20120518,1168.74,1166.19,1175.75,1166.19,0.0024
20120521,1167.28,1166.4,1171.7,1163.3,-0.0012
20120522,1166.83,1167.28,1167.28,1161.4,-0.0004
20120523,1181.11,1166.83,1181.79,1166.83,0.0122
20120524,1177.22,1181.11,1183.57,1175.9,-0.0033
20120525,1185.5,1177.22,1186.65,1176.8,0.007
20120528,1176.57,1176.35,1176.57,1176.35,-0.0075
20120529,1176.15,1176.92,1183.3,1173.17,-0.0004
20120530,1180.91,1178.4,1180.91,1176.4,0.004
20120531,1180.47,1181.01,1185.9,1177.07,-0.0004
20120601,1182.5,1180.37,1183.95,1176.4,0.0017
20120604,1179.59,1183.1,1184.3,1179.59,-0.0025
20120605,1178.43,1179.59,1181.8,1175.2,-0.001
20120606,1174.5,1176.3,1176.3,1173.22,-0.0033
20120607,1164.85,1174.6,1175.1,1163.35,-0.0082
20120608,1174.09,1164.75,1176.55,1164.75,0.0079
20120611,1171.5,1164.7,1171.55,1164.7,-0.0022
20120612,1169.25,1171.6,1174.3,1167.9,-0.0019
20120613,1166.54,1169.05,1170.1,1165.65,-0.0023
20120614,1164.37,1166.54,1168.65,1164.14,-0.0019
